p_set,p,q,status,snapshot,generator
0.014294069056669753,0.014294069056669753,-119.88597866187321,,1997-11-03 01:10:00,G0-RM3-60
,40.0,65.59300972804257,,1997-11-03 01:10:00,G1
0.014294069056669753,0.014294069056669753,0.0,,1997-11-03 01:10:00,G1-RM3-60
,0.0,43.572622547739826,,1997-11-03 01:10:00,G2
0.014294069056669753,0.014294069056669753,0.0,,1997-11-03 01:10:00,G2-RM3-60
,0.0,54.9130230357603,,1997-11-03 01:10:00,G3
0.014294069056669753,0.014294069056669753,0.0,,1997-11-03 01:10:00,G3-RM3-60
,0.0,23.616535727671497,,1997-11-03 01:10:00,G4
0.014294069056669753,0.014294069056669753,0.0,,1997-11-03 01:10:00,G4-RM3-60
,0.0,17.82783928409846,,1997-11-03 01:10:00,G5
0.014294069056669753,0.014294069056669753,0.0,,1997-11-03 01:10:00,G5-RM3-60
0.014294069056669753,0.014294069056669753,0.0,,1997-11-03 01:10:00,G6-RM3-60
0.014294069056669753,0.014294069056669753,0.0,,1997-11-03 01:10:00,G7-RM3-60
,263.93162339017715,118.43019212140999,,1997-11-03 01:15:00,G0
0.02061789952087065,0.02061789952087065,-119.89549955413895,,1997-11-03 01:15:00,G0-RM3-60
,40.0,65.6222626436121,,1997-11-03 01:15:00,G1
0.02061789952087065,0.02061789952087065,0.0,,1997-11-03 01:15:00,G1-RM3-60
,0.0,43.59018836234402,,1997-11-03 01:15:00,G2
0.02061789952087065,0.02061789952087065,0.0,,1997-11-03 01:15:00,G2-RM3-60
,0.0,54.93157358287931,,1997-11-03 01:15:00,G3
0.02061789952087065,0.02061789952087065,0.0,,1997-11-03 01:15:00,G3-RM3-60
,0.0,23.61916390624906,,1997-11-03 01:15:00,G4
0.02061789952087065,0.02061789952087065,0.0,,1997-11-03 01:15:00,G4-RM3-60
,0.0,17.831373291449292,,1997-11-03 01:15:00,G5
0.02061789952087065,0.02061789952087065,0.0,,1997-11-03 01:15:00,G5-RM3-60
0.02061789952087065,0.02061789952087065,0.0,,1997-11-03 01:15:00,G6-RM3-60
0.02061789952087065,0.02061789952087065,0.0,,1997-11-03 01:15:00,G7-RM3-60
,264.0585855293077,118.40932135804766,,1997-11-03 01:20:00,G0
0.019979361228338554,0.019979361228338554,-119.89453825671035,,1997-11-03 01:20:00,G0-RM3-60
,40.0,65.65366927397645,,1997-11-03 01:20:00,G1
0.019979361228338554,0.019979361228338554,0.0,,1997-11-03 01:20:00,G1-RM3-60
,0.0,43.609044192924856,,1997-11-03 01:20:00,G2
0.019979361228338554,0.019979361228338554,0.0,,1997-11-03 01:20:00,G2-RM3-60
,0.0,54.95148744352414,,1997-11-03 01:20:00,G3
0.019979361228338554,0.019979361228338554,0.0,,1997-11-03 01:20:00,G3-RM3-60
,0.0,23.621985443412576,,1997-11-03 01:20:00,G4
0.019979361228338554,0.019979361228338554,0.0,,1997-11-03 01:20:00,G4-RM3-60
,0.0,17.83516759217297,,1997-11-03 01:20:00,G5
0.019979361228338554,0.019979361228338554,0.0,,1997-11-03 01:20:00,G5-RM3-60
0.019979361228338554,0.019979361228338554,0.0,,1997-11-03 01:20:00,G6-RM3-60
0.019979361228338554,0.019979361228338554,0.0,,1997-11-03 01:20:00,G7-RM3-60
,264.207205273085,118.38430073347143,,1997-11-03 01:25:00,G0
0.01771263175153878,0.01771263175153878,-119.8911256666719,,1997-11-03 01:25:00,G0-RM3-60
,40.0,65.68732554491172,,1997-11-03 01:25:00,G1
0.01771263175153878,0.01771263175153878,0.0,,1997-11-03 01:25:00,G1-RM3-60
,0.0,43.62924692623842,,1997-11-03 01:25:00,G2
0.01771263175153878,0.01771263175153878,0.0,,1997-11-03 01:25:00,G2-RM3-60
,0.0,54.97282490920657,,1997-11-03 01:25:00,G3
0.01771263175153878,0.01771263175153878,0.0,,1997-11-03 01:25:00,G3-RM3-60
,0.0,23.625008927023593,,1997-11-03 01:25:00,G4
0.01771263175153878,0.01771263175153878,0.0,,1997-11-03 01:25:00,G4-RM3-60
,0.0,17.839233798219446,,1997-11-03 01:25:00,G5
0.01771263175153878,0.01771263175153878,0.0,,1997-11-03 01:25:00,G5-RM3-60
0.01771263175153878,0.01771263175153878,0.0,,1997-11-03 01:25:00,G6-RM3-60
0.01771263175153878,0.01771263175153878,0.0,,1997-11-03 01:25:00,G7-RM3-60
,264.36327949674353,118.35815895451645,,1997-11-03 01:30:00,G0
0.01564585476810315,0.01564585476810315,-119.8880139623968,,1997-11-03 01:30:00,G0-RM3-60
,40.0,65.7233252105883,,1997-11-03 01:30:00,G1
0.01564585476810315,0.01564585476810315,0.0,,1997-11-03 01:30:00,G1-RM3-60
,0.0,43.65085205293819,,1997-11-03 01:30:00,G2
0.01564585476810315,0.01564585476810315,0.0,,1997-11-03 01:30:00,G2-RM3-60
,0.0,54.99564482489026,,1997-11-03 01:30:00,G3
0.01564585476810315,0.01564585476810315,0.0,,1997-11-03 01:30:00,G3-RM3-60
,0.0,23.62824274591781,,1997-11-03 01:30:00,G4
0.01564585476810315,0.01564585476810315,0.0,,1997-11-03 01:30:00,G4-RM3-60
,0.0,17.843583262183238,,1997-11-03 01:30:00,G5
0.01564585476810315,0.01564585476810315,0.0,,1997-11-03 01:30:00,G5-RM3-60
0.01564585476810315,0.01564585476810315,0.0,,1997-11-03 01:30:00,G6-RM3-60
0.01564585476810315,0.01564585476810315,0.0,,1997-11-03 01:30:00,G7-RM3-60
,264.51863815927385,118.33264582376202,,1997-11-03 01:35:00,G0
0.014848006688620097,0.014848006688620097,-119.88681269883051,,1997-11-03 01:35:00,G0-RM3-60
,40.0,65.7617590538595,,1997-11-03 01:35:00,G1
0.014848006688620097,0.014848006688620097,0.0,,1997-11-03 01:35:00,G1-RM3-60
,0.0,43.673913182045126,,1997-11-03 01:35:00,G2
0.014848006688620097,0.014848006688620097,0.0,,1997-11-03 01:35:00,G2-RM3-60
,0.0,55.02000407786227,,1997-11-03 01:35:00,G3
0.014848006688620097,0.014848006688620097,0.0,,1997-11-03 01:35:00,G3-RM3-60
,0.0,23.631695017833636,,1997-11-03 01:35:00,G4
0.014848006688620097,0.014848006688620097,0.0,,1997-11-03 01:35:00,G4-RM3-60
,0.0,17.848226980869683,,1997-11-03 01:35:00,G5
0.014848006688620097,0.014848006688620097,0.0,,1997-11-03 01:35:00,G5-RM3-60
0.014848006688620097,0.014848006688620097,0.0,,1997-11-03 01:35:00,G6-RM3-60
0.014848006688620097,0.014848006688620097,0.0,,1997-11-03 01:35:00,G7-RM3-60
,264.69639238301835,118.30288378116614,,1997-11-03 01:40:00,G0
0.012458107415963418,0.012458107415963418,-119.88321427254171,,1997-11-03 01:40:00,G0-RM3-60
,40.0,65.80271403833208,,1997-11-03 01:40:00,G1
0.012458107415963418,0.012458107415963418,0.0,,1997-11-03 01:40:00,G1-RM3-60
,0.0,43.698481527183624,,1997-11-03 01:40:00,G2
0.012458107415963418,0.012458107415963418,0.0,,1997-11-03 01:40:00,G2-RM3-60
,0.0,55.045957056565896,,1997-11-03 01:40:00,G3
0.012458107415963418,0.012458107415963418,0.0,,1997-11-03 01:40:00,G3-RM3-60
,0.0,23.635373513029506,,1997-11-03 01:40:00,G4
0.012458107415963418,0.012458107415963418,0.0,,1997-11-03 01:40:00,G4-RM3-60
,0.0,17.85317549299636,,1997-11-03 01:40:00,G5
0.012458107415963418,0.012458107415963418,0.0,,1997-11-03 01:40:00,G5-RM3-60
