BUS_ID,TYPE,Pd,Qd,Pg,Qg,P,Q,V_PU,V_KV,BASE_KV,ANGLE_DEG,ANGLE_RAD,MISMATCH,timestamp
4,1,7.686453819274902,1.600000023841858,0.0,0.0,-7.686453819274902,-1.600000023841858,1.011435866355896,133.50953674316406,132.0,89.01972961425781,1.5536868572235107,0.0006836694083176553,1997-11-03 02:20:00
5,2,95.27156829833984,19.0,0.0,37.60143280029297,-95.27156829833984,18.60143280029297,1.0099999904632568,133.3199920654297,132.0,84.0728988647461,1.467348337173462,0.0009655952453613281,1997-11-03 02:20:00
6,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0100324153900146,133.32427978515625,132.0,87.2148208618164,1.522185206413269,0.0009932045359164476,1997-11-03 02:20:00
7,1,23.05936050415039,10.899999618530273,0.0,0.0,-23.05936050415039,-10.899999618530273,1.0021984577178955,132.29019165039062,132.0,85.39046478271484,1.4903442859649658,7.471784920198843e-05,1997-11-03 02:20:00
8,2,30.341266632080078,30.000001907348633,0.0,37.901763916015625,-30.341266632080078,7.901762008666992,1.0099999904632568,133.3199920654297,132.0,86.45360565185547,1.5088995695114136,0.0001192186027765274,1997-11-03 02:20:00
9,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0507142543792725,1.0507142543792725,1.0,84.1346664428711,1.4684264659881592,3.071953187827603e-06,1997-11-03 02:20:00
10,1,5.865978240966797,2.0,0.0,0.0,-5.865978240966797,-2.0,1.044869065284729,34.48067855834961,33.0,82.52519226074219,1.4403358697891235,5.972094641037984e-06,1997-11-03 02:20:00
11,2,0.0,0.0,0.0,16.274593353271484,0.0,16.274593353271484,1.0820000171661377,11.902000427246094,11.0,84.1346664428711,1.4684264659881592,9.822039015450201e-11,1997-11-03 02:20:00
12,1,11.327404975891113,7.500000476837158,0.0,0.0,-11.327404975891113,-7.500000476837158,1.0569372177124023,34.878929138183594,33.0,83.29247283935547,1.4537273645401,2.764757846307475e-05,1997-11-03 02:20:00
13,2,0.0,0.0,0.0,10.758034706115723,0.0,10.758034706115723,1.071000099182129,11.781000137329102,11.0,83.29247283935547,1.4537273645401,1.7557309772708862e-11,1997-11-03 02:20:00
14,1,6.2705278396606445,1.600000023841858,0.0,0.0,-6.2705278396606445,-1.600000023841858,1.041991949081421,34.38573455810547,33.0,82.38816833496094,1.4379442930221558,8.330002287948446e-07,1997-11-03 02:20:00
15,1,8.293278694152832,2.5,0.0,0.0,-8.293278694152832,-2.5,1.0373600721359253,34.23288345336914,33.0,82.29417419433594,1.4363038539886475,1.4966501566959778e-06,1997-11-03 02:20:00
