v_mag_pu,v_ang,p,q,snapshot,bus
0.9948819068731497,-0.28644933044417753,-8.70890356455745,-6.7,1997-11-03 00:05:00,24
0.9978199782568626,-0.2813811517924164,0.0,0.0,1997-11-03 00:05:00,25
0.9797733624557476,-0.2890143329645199,-3.503581893787481,-2.3,1997-11-03 00:05:00,26
1.0084103389123535,-0.27342020995169986,0.0,0.0,1997-11-03 00:05:00,27
1.0006434005633535,-0.20336372187117288,0.0,0.0,1997-11-03 00:05:00,28
0.9882312881693491,-0.29556281462991174,-2.4024561557399866,-0.9,1997-11-03 00:05:00,29
0.9765603790626025,-0.31147125461733394,-10.610848021184943,-1.9,1997-11-03 00:05:00,30
1.0,0.0113739181498036,0.13424219822091882,-119.88972194302293,1997-11-03 00:05:00,31
1.06,0.0,263.0033642709188,118.57959802552774,1997-11-03 00:10:00,1
1.04313,-0.09384164038171983,18.275221365931248,52.674917863578884,1997-11-03 00:10:00,2
1.0156167979802229,-0.13072885323112488,-2.4027404940905535,-1.2,1997-11-03 00:10:00,3
1.0063905858158058,-0.16153624349469511,-7.608678231286752,-1.6,1997-11-03 00:10:00,4
1.01,-0.24844960054110524,-94.30756439305422,24.441570349891318,1997-11-03 00:10:00,5
1.005345504952864,-0.1925920135297593,0.0,0.0,1997-11-03 00:10:00,6
0.9985359702401896,-0.2244734513333951,-22.826034693860258,-10.9,1997-11-03 00:10:00,7
1.01,-0.20721033936995722,-30.03425617613192,24.77465191068627,1997-11-03 00:10:00,8
1.036638049505751,-0.24523782991768914,0.0,0.0,1997-11-03 00:10:00,9
