Time Step,P Gen (No WEC),P Gen (With WEC)
14250.0,83.0426254272461,81.11473846435547
14550.0,84.44652557373047,82.52655029296875
14850.0,85.92881774902344,83.98344421386719
15150.0,87.01803588867188,85.1321792602539
15450.0,88.25033569335938,86.37715911865234
15750.0,90.46699523925781,88.56033325195312
16050.0,91.22025299072266,89.29413604736328
16350.0,93.94502258300781,92.08879089355469
16650.0,97.00707244873047,95.14775085449219
16950.0,97.6808853149414,95.81388854980469
17250.0,99.52696228027344,97.66615295410156
17550.0,99.43859100341797,97.56330871582031
17850.0,101.62985229492188,99.78370666503906
18150.0,103.6890869140625,101.86406707763672
18450.0,103.07933044433594,101.25897216796875
18750.0,107.07624053955078,105.23056030273438
19050.0,105.37179565429688,103.48648834228516
19350.0,108.15762329101562,106.29835510253906
19650.0,107.0312271118164,105.19068145751953
19950.0,108.6949234008789,106.8546142578125
20250.0,109.35708618164062,107.521728515625
20550.0,110.3185043334961,108.48371124267578
20850.0,111.16879272460938,109.35047912597656
21150.0,110.3576889038086,108.49736022949219
21450.0,110.36146545410156,108.51770782470703
21750.0,109.7265625,107.92230224609375
22050.0,109.71862030029297,107.89693450927734
22350.0,111.39677429199219,109.59173583984375
22650.0,109.41450500488281,107.56299591064453
22950.0,109.41819763183594,107.58323669433594
23250.0,107.61112213134766,105.75907135009766
23550.0,107.32611083984375,105.50373840332031
23850.0,107.85401916503906,106.00617980957031
24150.0,105.33004760742188,103.48627471923828
24450.0,104.94538879394531,103.16069030761719
24750.0,104.50820922851562,102.66104888916016
25050.0,102.27790832519531,100.39979553222656
25350.0,101.68331909179688,99.84048461914062
25650.0,100.50169372558594,98.64006042480469
25950.0,98.84819030761719,96.95767974853516
26250.0,96.81501007080078,94.95984649658203
26550.0,96.68363952636719,94.7992172241211
26850.0,93.24478149414062,91.36116027832031
27150.0,91.09649658203125,89.23420715332031
27450.0,90.67288208007812,88.80120849609375
27750.0,88.21551513671875,86.28241729736328
28050.0,86.44273376464844,84.49909973144531
28350.0,85.48515319824219,83.57817077636719
28650.0,83.20101165771484,81.33196258544922
28950.0,81.5384750366211,79.59581756591797
29250.0,79.77713775634766,77.87076568603516
29550.0,78.54962921142578,76.64100646972656
29850.0,76.91412353515625,74.9864501953125
30150.0,75.49687957763672,73.53815460205078
30450.0,73.11084747314453,71.12144470214844
30750.0,70.4317626953125,68.43441772460938
31050.0,69.89045715332031,67.94559478759766
31350.0,67.64372253417969,65.63798522949219
31650.0,68.02415466308594,66.01509857177734
31950.0,65.98219299316406,63.986785888671875
32250.0,62.833126068115234,60.85811233520508
32550.0,62.2138786315918,60.24108123779297
32850.0,60.104190826416016,58.076011657714844
33150.0,58.66050720214844,56.66289520263672
33450.0,56.371158599853516,54.31980895996094
33750.0,56.017940521240234,53.97614669799805
34050.0,54.686038970947266,52.57834243774414
34350.0,53.99009704589844,51.960968017578125
34650.0,53.09181213378906,51.06871795654297
34950.0,51.74541473388672,49.661956787109375
35250.0,49.187583923339844,47.12015151977539
35550.0,48.271827697753906,46.253700256347656
35850.0,48.72980880737305,46.704505920410156
36150.0,47.23691177368164,45.12553787231445
36450.0,47.04827117919922,44.98169708251953
36750.0,46.19398880004883,44.10144805908203
37050.0,45.84257507324219,43.7108039855957
37350.0,42.971771240234375,40.83653259277344
37650.0,44.41181945800781,42.311187744140625
37950.0,43.907508850097656,41.825374603271484
38250.0,41.34785461425781,39.25004959106445
38550.0,41.07996368408203,38.94276428222656
38850.0,41.86418533325195,39.76556396484375
39150.0,41.40066146850586,39.250244140625
39450.0,40.57875442504883,38.510292053222656
39750.0,39.565460205078125,37.48231506347656
40050.0,39.91655731201172,37.77482223510742
40350.0,39.64945983886719,37.5272216796875
40650.0,37.98984146118164,35.86424255371094
40950.0,38.99222183227539,36.89768600463867
41250.0,38.251136779785156,36.12651062011719
41550.0,38.33539581298828,36.16423797607422
41850.0,37.937339782714844,35.80952835083008
42150.0,38.403663635253906,36.23726272583008
42450.0,37.27755355834961,35.152244567871094
42750.0,35.98821258544922,33.863101959228516
43050.0,36.76287078857422,34.60704803466797
