GEN_ID,BUS_ID,GEN_ID,Pg,Qg,MBASE,STATUS,MISMATCH,PERCENT,time_s
0,1,1 ,27.366748809814453,64.6396713256836,100.0,1,3.3320009151793784e-06,70.19419860839844,2100.0
1,2,1 ,67.0,0.0,100.0,1,5.9604644775390625e-06,67.0,2100.0
2,7,1 ,64.0,0.0,100.0,1,6.984919309616089e-08,64.0,2100.0
3,13,1 ,200.0,0.0,100.0,1,1.4901161193847656e-06,200.0,2100.0
4,14,1 ,0.0,0.0,100.0,1,2.9802322387695312e-06,0.0,2100.0
5,15,1 ,274.0,0.0,100.0,1,7.450580596923828e-06,274.0,2100.0
6,16,1 ,245.0,0.0,100.0,1,3.071953187827603e-06,245.0,2100.0
7,18,1 ,144.0,0.0,100.0,1,1.1944189282075968e-05,144.0,2100.0
8,21,1 ,294.0,0.0,100.0,1,2.384185791015625e-05,294.0,2100.0
9,22,1 ,150.0,126.88542938232422,100.0,1,0.0,196.46859741210938,2100.0
10,23,1 ,200.0,0.0,100.0,1,2.9802322387695312e-06,200.0,2100.0
11,25,G1,0.01652446575462818,11.127385139465332,1.0,1,1.1641532182693481e-08,1112.7398681640625,2100.0
0,1,1 ,28.109472274780273,63.62623596191406,100.0,1,9.42432143347105e-06,69.55889892578125,2400.0
1,2,1 ,67.0,0.0,100.0,1,5.9604644775390625e-06,67.0,2400.0
2,7,1 ,64.0,0.0,100.0,1,0.0,64.0,2400.0
3,13,1 ,200.0,0.0,100.0,1,1.2013700143143069e-05,200.0,2400.0
4,14,1 ,0.0,0.0,100.0,1,0.0,0.0,2400.0
5,15,1 ,274.0,0.0,100.0,1,2.3888378564151935e-05,274.0,2400.0
6,16,1 ,245.0,0.0,100.0,1,2.086162567138672e-05,245.0,2400.0
7,18,1 ,144.0,0.0,100.0,1,1.30385160446167e-06,144.0,2400.0
8,21,1 ,294.0,0.0,100.0,1,2.384185791015625e-05,294.0,2400.0
9,22,1 ,150.0,126.22282409667969,100.0,1,5.9604644775390625e-06,196.04132080078125,2400.0
10,23,1 ,200.0,0.0,100.0,1,3.3320009151793784e-06,200.0,2400.0
11,25,G1,0.02015046961605549,11.096065521240234,1.0,1,1.1641532182693481e-08,1109.6083984375,2400.0
0,1,1 ,28.296512603759766,63.92630386352539,100.0,1,0.0,69.90897369384766,2700.0
1,2,1 ,67.0,0.0,100.0,1,8.429369700024836e-06,67.0,2700.0
2,7,1 ,64.0,0.0,100.0,1,5.960475846222835e-06,64.0,2700.0
3,13,1 ,200.0,0.0,100.0,1,1.4901161193847656e-06,200.0,2700.0
4,14,1 ,0.0,0.0,100.0,1,1.1920928955078125e-05,0.0,2700.0
5,15,1 ,274.0,0.0,100.0,1,4.470348358154297e-06,274.0,2700.0
6,16,1 ,245.0,0.0,100.0,1,3.579381882445887e-05,245.0,2700.0
7,18,1 ,144.0,0.0,100.0,1,1.2013700143143069e-05,144.0,2700.0
8,21,1 ,294.0,0.0,100.0,1,2.4027400286286138e-05,294.0,2700.0
9,22,1 ,150.0,126.4735336303711,100.0,1,5.9604644775390625e-06,196.2028350830078,2700.0
10,23,1 ,200.0,0.0,100.0,1,6.143906375655206e-06,200.0,2700.0
11,25,G1,0.02207600139081478,11.102002143859863,1.0,1,5.9604644775390625e-06,1110.202392578125,2700.0
0,1,1 ,28.9498291015625,63.92470169067383,100.0,1,2.9802322387695312e-06,70.17449951171875,3000.0
1,2,1 ,67.0,0.0,100.0,1,0.0,67.0,3000.0
2,7,1 ,64.0,0.0,100.0,1,9.313225746154785e-08,64.0,3000.0
3,13,1 ,200.0,0.0,100.0,1,6.143906375655206e-06,200.0,3000.0
4,14,1 ,0.0,0.0,100.0,1,1.2287812751310412e-05,0.0,3000.0
5,15,1 ,274.0,0.0,100.0,1,5.9604644775390625e-06,274.0,3000.0
6,16,1 ,245.0,0.0,100.0,1,5.9604644775390625e-06,245.0,3000.0
