Generator,p,q,time_s
G3-RM3-60,0.01652446607677622,0.0,2100.0
G4-RM3-60,0.01652446607677622,0.0,2100.0
G5-RM3-60,0.01652446607677622,0.0,2100.0
G6-RM3-60,0.01652446607677622,0.0,2100.0
G7-RM3-60,0.01652446607677622,0.0,2100.0
G8-RM3-60,0.01652446607677622,0.0,2100.0
G0,16.313450334298977,-112.89081995030526,2400.0
G1,67.0,56.82268238360459,2400.0
G2,64.0,41.87704332096714,2400.0
G3,200.0,49.95254820910159,2400.0
G4,0.0,68.74264450754721,2400.0
G5,274.0,72.55322040459733,2400.0
G6,245.0,33.94537142407499,2400.0
G7,144.0,36.90157238604483,2400.0
G8,294.0,-52.662239833428444,2400.0
G9,150.0,-29.50488251874407,2400.0
G10,200.0,-6.04143879571,2400.0
G1-RM3-60,0.020150470111387674,-0.05373446061956296,2400.0
G2-RM3-60,0.020150470111387674,0.0,2400.0
G3-RM3-60,0.020150470111387674,0.0,2400.0
G4-RM3-60,0.020150470111387674,0.0,2400.0
G5-RM3-60,0.020150470111387674,0.0,2400.0
G6-RM3-60,0.020150470111387674,0.0,2400.0
G7-RM3-60,0.020150470111387674,0.0,2400.0
G8-RM3-60,0.020150470111387674,0.0,2400.0
G0,17.228168752996282,-113.25024319539918,2700.0
G1,67.0,57.18759225359348,2700.0
G2,64.0,41.932423153275806,2700.0
G3,200.0,50.00990787950492,2700.0
G4,0.0,68.79461059606184,2700.0
G5,274.0,72.58261535874531,2700.0
G6,245.0,33.95651002862396,2700.0
G7,144.0,36.87571468793296,2700.0
G8,294.0,-52.65968583072764,2700.0
G9,150.0,-29.505005135383243,2700.0
G10,200.0,-6.01963546070656,2700.0
G1-RM3-60,0.02207600158187576,-0.05886918591775081,2700.0
G2-RM3-60,0.02207600158187576,0.0,2700.0
G3-RM3-60,0.02207600158187576,0.0,2700.0
G4-RM3-60,0.02207600158187576,0.0,2700.0
G5-RM3-60,0.02207600158187576,0.0,2700.0
G6-RM3-60,0.02207600158187576,0.0,2700.0
G7-RM3-60,0.02207600158187576,0.0,2700.0
G8-RM3-60,0.02207600158187576,0.0,2700.0
G0,16.780076134408546,-113.23953326994567,3000.0
G1,67.0,57.109318814020696,3000.0
G2,64.0,41.805654891830486,3000.0
G3,200.0,49.976072490629804,3000.0
G4,0.0,68.7743204240722,3000.0
G5,274.0,72.5258445755264,3000.0
G6,245.0,33.99191077952815,3000.0
G7,144.0,36.920539462010616,3000.0
G8,294.0,-52.6659381656343,3000.0
G9,150.0,-29.501929654093203,3000.0
G10,200.0,-6.044702270059446,3000.0
G1-RM3-60,0.017404990320729573,-0.04641321327224891,3000.0
G2-RM3-60,0.017404990320729573,0.0,3000.0
G3-RM3-60,0.017404990320729573,0.0,3000.0
G4-RM3-60,0.017404990320729573,0.0,3000.0
G5-RM3-60,0.017404990320729573,0.0,3000.0
G6-RM3-60,0.017404990320729573,0.0,3000.0
G7-RM3-60,0.017404990320729573,0.0,3000.0
G8-RM3-60,0.017404990320729573,0.0,3000.0
G0,16.63343642961712,-113.04809828484414,3300.0
G1,67.0,56.93570232749017,3300.0
G2,64.0,41.917236583434246,3300.0
G3,200.0,49.90420491587601,3300.0
G4,0.0,68.74127140479172,3300.0
G5,274.0,72.55719671642993,3300.0
G6,245.0,33.962653989567755,3300.0
G7,144.0,36.871316517658514,3300.0
G8,294.0,-52.65909595059172,3300.0
G9,150.0,-29.505266642463994,3300.0
G10,200.0,-6.077193128712523,3300.0
G1-RM3-60,0.013513497925562666,-0.03603593763288059,3300.0
G2-RM3-60,0.013513497925562666,0.0,3300.0
G3-RM3-60,0.013513497925562666,0.0,3300.0
G4-RM3-60,0.013513497925562666,0.0,3300.0
G5-RM3-60,0.013513497925562666,0.0,3300.0
G6-RM3-60,0.013513497925562666,0.0,3300.0
G7-RM3-60,0.013513497925562666,0.0,3300.0
G8-RM3-60,0.013513497925562666,0.0,3300.0
G0,17.896971036819252,-113.618446545718,3600.0
G1,67.0,57.249312179240796,3600.0
G2,64.0,41.97352005379295,3600.0
G3,200.0,50.02055442234695,3600.0
G4,0.0,68.73465532609325,3600.0
G5,274.0,72.6102496756757,3600.0
G6,245.0,33.840391916733175,3600.0
G7,144.0,36.85008931852799,3600.0
G8,294.0,-52.652680455188474,3600.0
G9,150.0,-29.512057232674437,3600.0
G10,200.0,-6.056960013930322,3600.0
G1-RM3-60,0.0200964637333866,-0.05359044427315789,3600.0
G2-RM3-60,0.0200964637333866,0.0,3600.0
G3-RM3-60,0.0200964637333866,0.0,3600.0
G4-RM3-60,0.0200964637333866,0.0,3600.0
G5-RM3-60,0.0200964637333866,0.0,3600.0
G6-RM3-60,0.0200964637333866,0.0,3600.0
G7-RM3-60,0.0200964637333866,0.0,3600.0
G8-RM3-60,0.0200964637333866,0.0,3600.0
G0,18.939970649813006,-114.02807944261187,3900.0
G1,67.0,57.28897587105389,3900.0
G2,64.0,41.953791296737506,3900.0
G3,200.0,49.90293740061521,3900.0
G4,0.0,68.68506744969827,3900.0
G5,274.0,72.41712305425978,3900.0
G6,245.0,33.97604737145869,3900.0
G7,144.0,36.95700619858187,3900.0
G8,294.0,-52.66837397476617,3900.0
G9,150.0,-29.503536418008537,3900.0
G10,200.0,-6.109855089131429,3900.0
G1-RM3-60,0.013789466423007274,-0.0367718512813022,3900.0
G2-RM3-60,0.013789466423007274,0.0,3900.0
G3-RM3-60,0.013789466423007274,0.0,3900.0
G4-RM3-60,0.013789466423007274,0.0,3900.0
G5-RM3-60,0.013789466423007274,0.0,3900.0
G6-RM3-60,0.013789466423007274,0.0,3900.0
G7-RM3-60,0.013789466423007274,0.0,3900.0
G8-RM3-60,0.013789466423007274,0.0,3900.0
G0,19.319563049384556,-114.29457390028242,4200.0
G1,67.0,57.6236564863297,4200.0
G2,64.0,41.962163626646976,4200.0
G3,200.0,49.93021948374387,4200.0
G4,0.0,68.69899677517837,4200.0
G5,274.0,72.45927337872666,4200.0
G6,245.0,33.97514597288445,4200.0
G7,144.0,36.911662278782366,4200.0
G8,294.0,-52.6636091934364,4200.0
G9,150.0,-29.504248451263436,4200.0
G10,200.0,-6.091655890824498,4200.0
G1-RM3-60,0.014294069056669753,-0.03811745389659619,4200.0
G2-RM3-60,0.014294069056669753,0.0,4200.0
G3-RM3-60,0.014294069056669753,0.0,4200.0
G4-RM3-60,0.014294069056669753,0.0,4200.0
G5-RM3-60,0.014294069056669753,0.0,4200.0
G6-RM3-60,0.014294069056669753,0.0,4200.0
G7-RM3-60,0.014294069056669753,0.0,4200.0
G8-RM3-60,0.014294069056669753,0.0,4200.0
G0,19.38117603838799,-114.31457972642099,4500.0
G1,67.0,57.64664367222524,4500.0
G2,64.0,42.01465004341495,4500.0
G3,200.0,49.98406831240811,4500.0
G4,0.0,68.79223551671869,4500.0
G5,274.0,72.45761008030128,4500.0
G6,245.0,33.94474785093778,4500.0
G7,144.0,36.93398583509795,4500.0
G8,294.0,-52.66511336286955,4500.0
G9,150.0,-29.505219673516592,4500.0
G10,200.0,-6.030733365068606,4500.0
G1-RM3-60,0.02061789952087065,-0.0549809330925738,4500.0
G2-RM3-60,0.02061789952087065,0.0,4500.0
G3-RM3-60,0.02061789952087065,0.0,4500.0
G4-RM3-60,0.02061789952087065,0.0,4500.0
G5-RM3-60,0.02061789952087065,0.0,4500.0
G6-RM3-60,0.02061789952087065,0.0,4500.0
G7-RM3-60,0.02061789952087065,0.0,4500.0
G8-RM3-60,0.02061789952087065,0.0,4500.0
G0,21.112473223315988,-115.00365702748954,4800.0
G1,67.0,57.81847293225334,4800.0
G2,64.0,42.02218338667149,4800.0
G3,200.0,49.955559247060606,4800.0
G4,0.0,68.7137028880071,4800.0
G5,274.0,72.41715941692809,4800.0
G6,245.0,33.9215744093607,4800.0
G7,144.0,36.904723220538536,4800.0
G8,294.0,-52.66064949811323,4800.0
G9,150.0,-29.50783091830351,4800.0
G10,200.0,-6.095391616078437,4800.0
G1-RM3-60,0.019979361228338554,-0.053278172405487836,4800.0
G2-RM3-60,0.019979361228338554,0.0,4800.0
G3-RM3-60,0.019979361228338554,0.0,4800.0
G4-RM3-60,0.019979361228338554,0.0,4800.0
G5-RM3-60,0.019979361228338554,0.0,4800.0
G6-RM3-60,0.019979361228338554,0.0,4800.0
G7-RM3-60,0.019979361228338554,0.0,4800.0
G8-RM3-60,0.019979361228338554,0.0,4800.0
G0,20.9644808087844,-114.9675235199638,5100.0
G1,67.0,57.71351131289921,5100.0
G2,64.0,42.06087649002728,5100.0
G3,200.0,49.84521511633778,5100.0
G4,0.0,68.6418736222444,5100.0
G5,274.0,72.35310454066195,5100.0
G6,245.0,33.87459329810147,5100.0
G7,144.0,36.9195767099495,5100.0
G8,294.0,-52.660054057886185,5100.0
G9,150.0,-29.510965615760085,5100.0
G10,200.0,-6.131554746810728,5100.0
G1-RM3-60,0.01771263175153878,-0.04723358703162642,5100.0
G2-RM3-60,0.01771263175153878,0.0,5100.0
G3-RM3-60,0.01771263175153878,0.0,5100.0
G4-RM3-60,0.01771263175153878,0.0,5100.0
G5-RM3-60,0.01771263175153878,0.0,5100.0
G6-RM3-60,0.01771263175153878,0.0,5100.0
G7-RM3-60,0.01771263175153878,0.0,5100.0
G8-RM3-60,0.01771263175153878,0.0,5100.0
G0,22.388115341354933,-115.54788209361126,5400.0
G1,67.0,57.87023685320094,5400.0
G2,64.0,42.11552090133294,5400.0
G3,200.0,49.8245575450475,5400.0
G4,0.0,68.61511845557925,5400.0
G5,274.0,72.30105419267198,5400.0
G6,245.0,33.86381451911812,5400.0
G7,144.0,36.9326198424432,5400.0
G8,294.0,-52.661262473803376,5400.0
G9,150.0,-29.51102105990887,5400.0
G10,200.0,-6.154883977434736,5400.0
G1-RM3-60,0.01564585476810315,-0.04172220320035924,5400.0
G2-RM3-60,0.01564585476810315,0.0,5400.0
G3-RM3-60,0.01564585476810315,0.0,5400.0
G4-RM3-60,0.01564585476810315,0.0,5400.0
G5-RM3-60,0.01564585476810315,0.0,5400.0
G6-RM3-60,0.01564585476810315,0.0,5400.0
G7-RM3-60,0.01564585476810315,0.0,5400.0
G8-RM3-60,0.01564585476810315,0.0,5400.0
G0,22.985824687883053,-115.88736918073934,5700.0
G1,67.0,58.088825831041866,5700.0
G2,64.0,42.124798638708086,5700.0
G3,200.0,49.871142094057895,5700.0
G4,0.0,68.60691589224545,5700.0
G5,274.0,72.28014737103634,5700.0
G6,245.0,33.881747047248815,5700.0
G7,144.0,36.937863280466644,5700.0
G8,294.0,-52.66242080433129,5700.0
G9,150.0,-29.509995252468684,5700.0
G10,200.0,-6.138205715203625,5700.0
G1-RM3-60,0.014848006688620097,-0.03959461590930574,5700.0
G2-RM3-60,0.014848006688620097,0.0,5700.0
G3-RM3-60,0.014848006688620097,0.0,5700.0
G4-RM3-60,0.014848006688620097,0.0,5700.0
G5-RM3-60,0.014848006688620097,0.0,5700.0
G6-RM3-60,0.014848006688620097,0.0,5700.0
G7-RM3-60,0.014848006688620097,0.0,5700.0
G8-RM3-60,0.014848006688620097,0.0,5700.0
G0,23.184168015779846,-115.98521659167349,6000.0
G1,67.0,58.37309350091803,6000.0
G2,64.0,42.047652774544474,6000.0
G3,200.0,49.89344805792004,6000.0
G4,0.0,68.63945981839225,6000.0
G5,274.0,72.25630475955029,6000.0
G6,245.0,33.80162475560234,6000.0
G7,144.0,36.94361411621947,6000.0
G8,294.0,-52.66034038428454,6000.0
G9,150.0,-29.514082699849638,6000.0
G10,200.0,-6.158136906066893,6000.0
G1-RM3-60,0.012458107415963418,-0.033221571477668445,6000.0
G2-RM3-60,0.012458107415963418,0.0,6000.0
G3-RM3-60,0.012458107415963418,0.0,6000.0
G4-RM3-60,0.012458107415963418,0.0,6000.0
G5-RM3-60,0.012458107415963418,0.0,6000.0
G6-RM3-60,0.012458107415963418,0.0,6000.0
G7-RM3-60,0.012458107415963418,0.0,6000.0
G8-RM3-60,0.012458107415963418,0.0,6000.0
G0,22.917886254343728,-115.81496543303896,6300.0
G1,67.0,58.14926157524008,6300.0
G2,64.0,42.036196151912065,6300.0
G3,200.0,49.83038918710261,6300.0
G4,0.0,68.58740484099808,6300.0
G5,274.0,72.310004207373,6300.0
G6,245.0,33.873114551033886,6300.0
G7,144.0,36.893008037497296,6300.0
G8,294.0,-52.65711758778993,6300.0
G9,150.0,-29.51157857616252,6300.0
G10,200.0,-6.167743663987181,6300.0
G1-RM3-60,0.017375397985809442,-0.04633430069867602,6300.0
G2-RM3-60,0.017375397985809442,0.0,6300.0
G3-RM3-60,0.017375397985809442,0.0,6300.0
G4-RM3-60,0.017375397985809442,0.0,6300.0
G5-RM3-60,0.017375397985809442,0.0,6300.0
G6-RM3-60,0.017375397985809442,0.0,6300.0
G7-RM3-60,0.017375397985809442,0.0,6300.0
G8-RM3-60,0.017375397985809442,0.0,6300.0
G0,23.23931124716205,-115.98612711692917,6600.0
G1,67.0,58.29345742710146,6600.0
G2,64.0,42.12016010552371,6600.0
G3,200.0,49.9508607557776,6600.0
G4,0.0,68.6565015793984,6600.0
G5,274.0,72.34137345640029,6600.0
G6,245.0,33.9044643554567,6600.0
G7,144.0,36.923083226879996,6600.0
G8,294.0,-52.66181753133576,6600.0
G9,150.0,-29.5087417686766,6600.0
G10,200.0,-6.1027206743136375,6600.0
G1-RM3-60,0.02195853755088097,-0.05855595008697067,6600.0
G2-RM3-60,0.02195853755088097,0.0,6600.0
G3-RM3-60,0.02195853755088097,0.0,6600.0
G4-RM3-60,0.02195853755088097,0.0,6600.0
G5-RM3-60,0.02195853755088097,0.0,6600.0
G6-RM3-60,0.02195853755088097,0.0,6600.0
G7-RM3-60,0.02195853755088097,0.0,6600.0
G8-RM3-60,0.02195853755088097,0.0,6600.0
G0,25.793989538384437,-117.03275216426286,6900.0
G1,67.0,58.61673075927766,6900.0
G2,64.0,42.17331400221707,6900.0
G3,200.0,49.83831711557683,6900.0
G4,0.0,68.54711640281944,6900.0
G5,274.0,72.14844870384098,6900.0
G6,245.0,33.838952728827074,6900.0
G7,144.0,36.969131018910616,6900.0
G8,294.0,-52.6636464288499,6900.0
G9,150.0,-29.512712041779963,6900.0
G10,200.0,-6.184174917225484,6900.0
G1-RM3-60,0.016838632612499013,-0.044902932080722255,6900.0
G2-RM3-60,0.016838632612499013,0.0,6900.0
G3-RM3-60,0.016838632612499013,0.0,6900.0
G4-RM3-60,0.016838632612499013,0.0,6900.0
G5-RM3-60,0.016838632612499013,0.0,6900.0
G6-RM3-60,0.016838632612499013,0.0,6900.0
G7-RM3-60,0.016838632612499013,0.0,6900.0
G8-RM3-60,0.016838632612499013,0.0,6900.0
G0,26.393271835579696,-117.39748139934406,7200.0
G1,67.0,59.02687392489778,7200.0
G2,64.0,42.20124149689846,7200.0
G3,200.0,49.93690502120154,7200.0
G4,0.0,68.63052929058529,7200.0
G5,274.0,72.18882442916055,7200.0
G6,245.0,33.952243390149846,7200.0
G7,144.0,36.99578098501617,7200.0
G8,294.0,-52.670778263421894,7200.0
G9,150.0,-29.50550725971553,7200.0
G10,200.0,-6.117231587090814,7200.0
G1-RM3-60,0.014975876892901571,-0.039935601922866756,7200.0
G2-RM3-60,0.014975876892901571,0.0,7200.0
G3-RM3-60,0.014975876892901571,0.0,7200.0
G4-RM3-60,0.014975876892901571,0.0,7200.0
G5-RM3-60,0.014975876892901571,0.0,7200.0
G6-RM3-60,0.014975876892901571,0.0,7200.0
G7-RM3-60,0.014975876892901571,0.0,7200.0
G8-RM3-60,0.014975876892901571,0.0,7200.0
G0,27.225752145271656,-117.6132985364197,7500.0
G1,67.0,58.87667926284607,7500.0
G2,64.0,42.17058252609623,7500.0
G3,200.0,49.83869319682129,7500.0
G4,0.0,68.53189909391985,7500.0
G5,274.0,72.14148746376787,7500.0
G6,245.0,33.888645848578946,7500.0
G7,144.0,36.93014499798823,7500.0
G8,294.0,-52.66088555244967,7500.0
G9,150.0,-29.511240484142945,7500.0
G10,200.0,-6.171895278673993,7500.0
G1-RM3-60,0.01990896873497875,-0.053090459966421734,7500.0
G2-RM3-60,0.01990896873497875,0.0,7500.0
G3-RM3-60,0.01990896873497875,0.0,7500.0
G4-RM3-60,0.01990896873497875,0.0,7500.0
G5-RM3-60,0.01990896873497875,0.0,7500.0
G6-RM3-60,0.01990896873497875,0.0,7500.0
G7-RM3-60,0.01990896873497875,0.0,7500.0
G8-RM3-60,0.01990896873497875,0.0,7500.0
G0,27.89547262054964,-118.022488832579,7800.0
G1,67.0,59.085981904610335,7800.0
G2,64.0,42.27177240339872,7800.0
G3,200.0,49.712914053011495,7800.0
G4,0.0,68.47581234938505,7800.0
G5,274.0,72.09511723198185,7800.0
G6,245.0,33.89800822686112,7800.0
G7,144.0,36.94404682598013,7800.0
G8,294.0,-52.66224040197865,7800.0
G9,150.0,-29.511192269079288,7800.0
G10,200.0,-6.233345216878355,7800.0
G1-RM3-60,0.014928683255868349,-0.03980975265858979,7800.0
G2-RM3-60,0.014928683255868349,0.0,7800.0
G3-RM3-60,0.014928683255868349,0.0,7800.0
G4-RM3-60,0.014928683255868349,0.0,7800.0
G5-RM3-60,0.014928683255868349,0.0,7800.0
G6-RM3-60,0.014928683255868349,0.0,7800.0
G7-RM3-60,0.014928683255868349,0.0,7800.0
G8-RM3-60,0.014928683255868349,0.0,7800.0
G0,30.13203414227803,-118.98924432903343,8100.0
G1,67.0,59.47972366317199,8100.0
G2,64.0,42.36474750993658,8100.0
G3,200.0,49.74303594134759,8100.0
G4,0.0,68.43616154260476,8100.0
G5,274.0,71.95221378303661,8100.0
G6,245.0,33.862966294948066,8100.0
G7,144.0,37.03789017322916,8100.0
G8,294.0,-52.670774390763356,8100.0
G9,150.0,-29.51170816398661,8100.0
G10,200.0,-6.230115836733461,8100.0
G1-RM3-60,0.017629638497084564,-0.04701227261564631,8100.0
G2-RM3-60,0.017629638497084564,0.0,8100.0
G3-RM3-60,0.017629638497084564,0.0,8100.0
G4-RM3-60,0.017629638497084564,0.0,8100.0
G5-RM3-60,0.017629638497084564,0.0,8100.0
G6-RM3-60,0.017629638497084564,0.0,8100.0
G7-RM3-60,0.017629638497084564,0.0,8100.0
G8-RM3-60,0.017629638497084564,0.0,8100.0
G0,29.71213877021637,-118.70133319136139,8400.0
G1,67.0,59.39364449097051,8400.0
G2,64.0,42.33401249564005,8400.0
