BUS_ID,BUS_ID,BUS_TYPE,Pd,Qd,Pg,Qg,P,Q,V_PU,V_KV,BASE_KV,ANGLE_DEG,ANGLE_RAD,MISMATCH,time_s
16,17,1,0.0,0.0,0.0,0.0,0.0,0.0,0.93085777759552,214.0972900390625,230.0,26.576841354370117,0.46385324001312256,2.384185791015625e-05,30900.0
17,18,2,165.40245056152344,34.0,144.0,0.0,-21.402450561523438,-34.0,0.9337258338928223,214.75694274902344,230.0,28.308204650878906,0.49407121539115906,1.2013700143143069e-05,30900.0
18,19,1,92.1047134399414,18.0,0.0,0.0,-92.1047134399414,-18.0,0.9050140380859375,208.15322875976562,230.0,18.93796730041504,0.3305297791957855,7.450580596923828e-07,30900.0
19,20,1,66.47107696533203,13.0,0.0,0.0,-66.47107696533203,-13.0,0.9066004753112793,208.51809692382812,230.0,17.60772705078125,0.3073126971721649,0.0,30900.0
20,21,2,0.0,0.0,294.0,0.0,294.0,0.0,0.9415039420127869,216.5458984375,230.0,30.002418518066406,0.5236408114433289,5.9604644775390625e-06,30900.0
21,22,2,0.0,0.0,150.0,121.74500274658203,150.0,121.74500274658203,1.0,230.0,230.0,32.03186798095703,0.5590613484382629,5.9604644775390625e-06,30900.0
22,23,2,0.0,0.0,200.0,0.0,200.0,0.0,0.908933162689209,209.05462646484375,230.0,17.382320404052734,0.3033786118030548,4.214684850012418e-06,30900.0
23,24,1,0.0,0.0,0.0,0.0,0.0,0.0,0.8996588587760925,206.92153930664062,230.0,20.32420539855957,0.3547241687774658,3.725290298461914e-07,30900.0
24,25,2,0.0,0.0,0.11602874100208282,88.36231994628906,0.11602874100208282,88.36231994628906,1.0,138.0,138.0,-4.032496929168701,-0.0703803226351738,5.9604644775390625e-06,30900.0
0,1,3,0.0,0.0,57.77983093261719,52.17063522338867,57.77983093261719,52.17063522338867,1.0,138.0,138.0,0.0,0.0,5.9604644775390625e-06,31200.0
1,2,2,99.39886474609375,20.0,67.0,0.0,-32.39886474609375,-20.0,0.9985215663909912,137.7959747314453,138.0,-0.020499391481280327,-0.0003577817406039685,8.429369700024836e-06,31200.0
2,3,1,91.88146209716797,19.0,0.0,0.0,-91.88146209716797,-19.0,0.9109562635421753,125.71195983886719,138.0,8.205175399780273,0.14320728182792664,5.9604644775390625e-06,31200.0
3,4,1,75.56781768798828,15.000000953674316,0.0,0.0,-75.56781768798828,-15.000000953674316,0.9261839389801025,127.81338500976562,138.0,-1.3427714109420776,-0.023435773327946663,2.9802322387695312e-06,31200.0
4,5,1,72.66728973388672,14.0,0.0,0.0,-72.66728973388672,-14.0,0.959608793258667,132.42601013183594,138.0,-1.0263921022415161,-0.01791391521692276,2.9802322387695312e-06,31200.0
5,6,1,69.47628784179688,14.0,0.0,0.0,-69.47628784179688,-14.0,0.9664767980575562,133.37379455566406,138.0,-0.9086520671844482,-0.01585896499454975,3.071953187827603e-06,31200.0
6,7,2,63.254093170166016,13.0,64.0,0.0,0.7459068298339844,-13.0,1.0,138.0,138.0,-3.9831981658935547,-0.06951989978551865,3.4924596548080444e-08,31200.0
7,8,1,87.11778259277344,18.0,0.0,0.0,-87.11778259277344,-18.0,0.9533362984657288,219.26734924316406,230.0,-3.2759923934936523,-0.05717683210968971,1.0477378964424133e-07,31200.0
8,9,1,178.34898376464844,36.0,0.0,0.0,-178.34898376464844,-36.0,0.9041125774383545,124.76753997802734,138.0,2.7250020503997803,0.04756024107336998,6.664001830358757e-06,31200.0
9,10,1,102.23379516601562,23.0,0.0,0.0,-102.23379516601562,-23.0,0.9462189674377441,130.57821655273438,138.0,1.7424309253692627,0.030411146581172943,5.9604644775390625e-06,31200.0
10,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9006218314170837,207.1430206298828,230.0,9.286277770996094,0.16207607090473175,1.1920928955078125e-05,31200.0
11,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9063907265663147,208.46986389160156,230.0,8.555861473083496,0.14932790398597717,2.9802322387695312e-06,31200.0
12,13,2,132.77293395996094,27.000001907348633,200.0,0.0,67.22706604003906,-27.000001907348633,0.9020139575004578,207.4632110595703,230.0,11.667357444763184,0.20363372564315796,1.4901161193847656e-06,31200.0
13,14,2,94.17906951904297,20.0,0.0,0.0,-94.17906951904297,-20.0,0.8938800096511841,205.59239196777344,230.0,14.586587905883789,0.2545838952064514,0.0,31200.0
14,15,2,161.67591857910156,32.0,274.0,0.0,112.32408142089844,-32.0,0.9217812418937683,212.0096893310547,230.0,27.82224464416504,0.4855895936489105,4.470348358154297e-06,31200.0
15,16,2,101.99433898925781,20.0,245.0,0.0,143.0056610107422,-20.0,0.9097069501876831,209.23260498046875,230.0,22.017467498779297,0.3842771649360657,2.9839551643817686e-05,31200.0
16,17,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9307317137718201,214.06829833984375,230.0,26.66209602355957,0.4653412103652954,0.0,31200.0
17,18,2,165.469482421875,34.0,144.0,0.0,-21.469482421875,-34.0,0.9336053133010864,214.72921752929688,230.0,28.39413833618164,0.4955710172653198,1.1922384146600962e-05,31200.0
18,19,1,91.81808471679688,18.0,0.0,0.0,-91.81808471679688,-18.0,0.9048383235931396,208.11280822753906,230.0,19.018474578857422,0.3319348692893982,1.1944189282075968e-05,31200.0
19,20,1,66.64466857910156,13.0,0.0,0.0,-66.64466857910156,-13.0,0.9064121842384338,208.4748077392578,230.0,17.682199478149414,0.30861249566078186,5.9604644775390625e-06,31200.0
20,21,2,0.0,0.0,294.0,0.0,294.0,0.0,0.9413910508155823,216.5199432373047,230.0,30.08953094482422,0.5251612067222595,2.384185791015625e-05,31200.0
21,22,2,0.0,0.0,150.0,122.03092956542969,150.0,122.03092956542969,1.0,230.0,230.0,32.11783218383789,0.5605617165565491,0.0,31200.0
22,23,2,0.0,0.0,200.0,0.0,200.0,0.0,0.9087427258491516,209.0108184814453,230.0,17.455015182495117,0.30464738607406616,2.9802322387695312e-06,31200.0
23,24,1,0.0,0.0,0.0,0.0,0.0,0.0,0.8994681239128113,206.87767028808594,230.0,20.401134490966797,0.35606685280799866,3.725290298461914e-07,31200.0
24,25,2,0.0,0.0,0.1623869687318802,88.44405364990234,0.1623869687318802,88.44405364990234,1.0,138.0,138.0,-3.9831981658935547,-0.06951989978551865,1.1641532182693481e-08,31200.0
0,1,3,0.0,0.0,55.18331527709961,53.6219367980957,55.18331527709961,53.6219367980957,1.0,138.0,138.0,0.0,0.0,6.664001830358757e-06,31500.0
1,2,2,99.01151275634766,20.0,67.0,0.0,-32.011512756347656,-20.0,0.9985231161117554,137.7961883544922,138.0,-0.0193169042468071,-0.00033714345772750676,0.0,31500.0
2,3,1,91.95415496826172,19.0,0.0,0.0,-91.95415496826172,-19.0,0.9104861617088318,125.6470947265625,138.0,8.30256175994873,0.14490698277950287,1.1920928955078125e-05,31500.0
3,4,1,75.68589782714844,15.000000953674316,0.0,0.0,-75.68589782714844,-15.000000953674316,0.9259259104728699,127.77777099609375,138.0,-1.298448085784912,-0.02266218699514866,2.9802322387695312e-06,31500.0
4,5,1,72.5741958618164,14.0,0.0,0.0,-72.5741958618164,-14.0,0.9594548344612122,132.40476989746094,138.0,-0.986088752746582,-0.01721048913896084,0.0,31500.0
5,6,1,69.6219482421875,14.0,0.0,0.0,-69.6219482421875,-14.0,0.966098427772522,133.3215789794922,138.0,-0.8456024527549744,-0.01475854218006134,6.0068500715715345e-06,31500.0
6,7,2,63.2896728515625,13.0,64.0,0.0,0.7103271484375,-13.0,1.0,138.0,138.0,-3.9030890464782715,-0.06812173128128052,5.960566795693012e-06,31500.0
7,8,1,87.04035949707031,18.0,0.0,0.0,-87.04035949707031,-18.0,0.9531873464584351,219.2330780029297,230.0,-3.1918792724609375,-0.055708784610033035,9.720679372549057e-07,31500.0
8,9,1,177.97225952148438,36.0,0.0,0.0,-177.97225952148438,-36.0,0.9037165641784668,124.712890625,138.0,2.821425437927246,0.04924314469099045,2.9802322387695312e-06,31500.0
9,10,1,101.92817687988281,23.0,0.0,0.0,-101.92817687988281,-23.0,0.9459069967269897,130.53517150878906,138.0,1.823452353477478,0.0318252369761467,1.9599418010329828e-05,31500.0
10,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9001109600067139,207.0255126953125,230.0,9.40241813659668,0.16410310566425323,1.1920928955078125e-05,31500.0
11,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.905892550945282,208.35528564453125,230.0,8.665863037109375,0.1512477844953537,2.9802322387695312e-06,31500.0
12,13,2,132.6847686767578,27.000001907348633,200.0,0.0,67.31523132324219,-27.000001907348633,0.9014910459518433,207.3429412841797,230.0,11.788846969604492,0.2057541310787201,1.1920928955078125e-05,31500.0
13,14,2,93.97200775146484,20.0,0.0,0.0,-93.97200775146484,-20.0,0.8933539390563965,205.47140502929688,230.0,14.728554725646973,0.2570616900920868,0.0,31500.0
14,15,2,160.77294921875,32.0,274.0,0.0,113.22705078125,-32.0,0.9213656783103943,211.9141082763672,230.0,28.00416374206543,0.4887647032737732,2.3888378564151935e-05,31500.0
15,16,2,101.73973083496094,20.0,245.0,0.0,143.26026916503906,-20.0,0.9092370271682739,209.12452697753906,230.0,22.180164337158203,0.38711676001548767,3.875913535011932e-05,31500.0
16,17,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9303674697875977,213.98451232910156,230.0,26.836544036865234,0.4683859050273895,5.9604644775390625e-06,31500.0
17,18,2,165.09507751464844,34.0,144.0,0.0,-21.095077514648438,-34.0,0.9332612752914429,214.65008544921875,230.0,28.573856353759766,0.49870771169662476,1.2013700143143069e-05,31500.0
18,19,1,91.72661590576172,18.0,0.0,0.0,-91.72661590576172,-18.0,0.9043354988098145,207.99716186523438,230.0,19.172395706176758,0.3346213102340698,1.1944189282075968e-05,31500.0
19,20,1,66.54013061523438,13.0,0.0,0.0,-66.54013061523438,-13.0,0.9058910012245178,208.35491943359375,230.0,17.828540802001953,0.3111666142940521,5.9604644775390625e-06,31500.0
20,21,2,0.0,0.0,294.0,0.0,294.0,0.0,0.9410640001296997,216.44473266601562,230.0,30.270811080932617,0.5283251404762268,2.4027400286286138e-05,31500.0
